SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
2	1	1	1	46003	626	0.7310767321614548564	0	1	871.81417702231556177	0	NaN	NaN	0	1	1	0	1	0
2	1	1	2	42020	5013	0.73112308362033218145	0	1	899.36997601762413979	0	NaN	NaN	0	1	1	0	1	0
2	1	1	3	22500	4850	0.7311693849042057991	0	1	534.98888298054225743	0	NaN	NaN	0	1	1	0	1	0
2	1	1	4	61983	8823	0.73121561529114842415	0	1	525.07580301607958972	0	NaN	NaN	0	1	1	0	1	0
2	1	1	5	48145	9538	0.73126191727351397276	0	1	551.54634299105964601	0	NaN	NaN	0	1	1	0	1	0
2	1	1	6	24129	6061	0.73130828619468957186	0	1	612.93223800021223724	0	NaN	NaN	0	1	1	0	1	0
2	1	1	7	48497	4421	0.73135450552217662334	0	1	740.48722800216637552	0	NaN	NaN	0	1	1	0	1	0
2	1	1	8	47597	3858	0.73140087246429175138	0	1	609.57247699843719602	0	NaN	NaN	0	1	1	0	1	0
2	1	1	9	36218	8124	0.73144708969630300999	0	1	639.43867100169882178	0	NaN	NaN	0	1	1	0	1	0
2	1	1	10	33066	4843	0.7314934668829664588	0	1	765.2091470081359148	0	NaN	NaN	0	1	1	0	1	0
2	1	1	11	70244	7941	0.73153968038968741894	0	1	551.69720298727042973	0	NaN	NaN	0	1	1	0	1	0
2	1	1	12	19692	4523	0.73158606397919356823	0	1	472.76005599997006357	0	NaN	NaN	0	1	1	0	1	0
2	1	1	13	31380	1070	0.73167865956202149391	0	1	593.80486499867402017	0	NaN	NaN	0	1	1	0	1	0
2	1	1	14	41342	9588	0.73172485863324254751	0	1	488.10833098832517862	0	NaN	NaN	0	1	1	0	1	0
2	1	1	15	44699	4623	0.73177125339861959219	0	1	593.89603501767851412	0	NaN	NaN	0	1	1	0	1	0
2	1	1	16	52819	3185	0.73181744699832051992	0	1	702.65503900009207428	0	NaN	NaN	0	1	1	0	1	0
2	1	1	17	23934	4586	0.73186384234577417374	0	1	659.51101097743958235	0	NaN	NaN	0	1	1	0	1	0
2	1	1	18	40525	1009	0.73191003629472106695	0	1	557.65121997683309019	0	NaN	NaN	0	1	1	0	1	0
2	1	1	19	18695	8634	0.73195644188672304153	0	1	544.57365398411639035	0	NaN	NaN	0	1	1	0	1	0
2	1	1	20	16008	9648	0.73200262384489178658	0	1	516.03926898678764701	0	NaN	NaN	0	1	1	0	1	0
2	1	1	21	23841	9425	0.73204904026351869106	0	1	641.00272901123389602	0	NaN	NaN	0	1	1	0	1	0
2	1	1	22	8750	1344	0.73209514492191374302	0	1	891.9005060160998255	0	NaN	NaN	0	1	1	0	1	0
2	1	1	23	54961	7441	0.73218774062115699053	0	1	510.77530600014142692	0	NaN	NaN	0	1	1	0	1	0
2	1	1	24	37094	3902	0.73223403829615563154	0	1	518.45047899405471981	0	NaN	NaN	0	1	1	0	1	0
2	1	1	25	22591	8795	0.73228029743768274784	0	1	625.4477339971344918	0	NaN	NaN	0	1	1	0	1	0
2	1	1	26	38629	1840	0.73232660803478211164	0	1	533.66308799013495445	0	NaN	NaN	0	1	1	0	1	0
2	1	1	27	57814	1356	0.73237288277596235275	0	1	502.82042601611465216	0	NaN	NaN	0	1	1	0	1	0
2	1	1	28	51899	5506	0.73241919418796896935	0	1	839.48896900983527303	0	NaN	NaN	0	1	1	0	1	0
2	1	1	29	48618	666	0.73246546753216534853	0	1	851.88061598455533385	0	NaN	NaN	0	1	1	0	1	0
2	1	1	30	29707	8240	0.73251177114434540272	0	1	571.12227097968570888	0	NaN	NaN	0	1	1	0	1	0
2	1	1	31	17626	7232	0.73255806136876344681	0	1	669.55278697423636913	0	NaN	NaN	0	1	1	0	1	0
2	1	1	32	2548	5691	0.73260435776319354773	0	1	557.08394799148663878	0	NaN	NaN	0	1	1	0	1	0
2	1	1	33	57847	6661	0.73265064507722854614	0	1	615.51685899030417204	0	NaN	NaN	0	1	1	0	1	0
2	1	1	34	72678	2400	0.73269693402107805014	0	1	665.14269300387240946	0	NaN	NaN	0	1	1	0	1	0
2	1	1	35	2543	2252	0.73278953239787369967	0	1	520.29883698560297489	0	NaN	NaN	0	1	1	0	1	0
2	1	1	36	44981	612	0.73283582122530788183	0	1	767.77988899266347289	0	NaN	NaN	0	1	1	0	1	0
2	1	1	37	68768	1609	0.7328821143601089716	0	1	758.85252899024635553	0	NaN	NaN	0	1	1	0	1	0
2	1	1	38	15319	3579	0.73292841413058340549	0	1	589.93474900489673018	0	NaN	NaN	0	1	1	0	1	0
2	1	1	39	13145	1703	0.73297470784746110439	0	1	971.66981801274232566	0	NaN	NaN	0	1	1	0	1	0
2	1	1	40	13529	9976	0.73302100086584687233	0	1	789.36917500686831772	0	NaN	NaN	0	1	1	0	1	0
2	1	1	41	55547	5770	0.73306729376781731844	0	1	583.26117700198665261	0	NaN	NaN	0	1	1	0	1	0
2	1	1	42	19537	8748	0.73311359016224741936	0	1	881.06204901123419404	0	NaN	NaN	0	1	1	0	1	0
2	1	1	43	67627	9202	0.73315988329704850912	0	1	632.26939699961803854	0	NaN	NaN	0	1	1	0	1	0
2	1	1	44	55635	3123	0.7332061700290068984	0	1	938.50942997960373759	0	NaN	NaN	0	1	1	0	1	0
2	1	1	45	32626	436	0.73325247212778776884	0	1	627.00669901096262038	0	NaN	NaN	0	1	1	0	1	0
2	1	1	46	23934	4586	0.73334506305400282145	1	1	764.88934000371955335	0	28	NaN	1	1	0	1	2	0
2	1	1	47	36748	1499	0.73339124978519976139	0	1	704.65771001181565225	0	NaN	NaN	0	1	1	0	1	0
2	1	1	48	39269	2872	0.73343754652887582779	0	1	1074.5702909771353006	0	NaN	NaN	0	1	1	0	1	0
2	1	1	49	17169	9173	0.73348384222481399775	0	1	753.05842200759798288	0	NaN	NaN	0	1	1	0	1	0
2	1	1	50	62422	2665	0.73353012790903449059	0	1	1342.1771439898293465	0	NaN	NaN	0	1	1	0	1	0
2	1	1	51	58942	1045	0.73357642930932343006	0	1	1057.7763119945302606	0	NaN	NaN	0	1	1	0	1	0
2	1	1	52	39785	1974	0.73362271895166486502	0	1	877.62367702089250088	0	NaN	NaN	0	1	1	0	1	0
2	1	1	53	985	2268	0.73366901709232479334	0	1	946.40056599746458232	0	NaN	NaN	0	1	1	0	1	0
2	1	1	54	50444	7771	0.73371531011071056128	0	1	988.77489398000761867	0	NaN	NaN	0	1	1	0	1	0
2	1	1	55	17055	6336	0.73380789475049823523	0	1	706.20250099455006421	0	NaN	NaN	0	1	1	0	1	0
2	1	1	56	53053	727	0.73385418974794447422	0	1	593.14657701179385185	0	NaN	NaN	0	1	1	0	1	0
2	1	1	57	4931	40	0.73390048590954393148	0	1	1050.3214639902580529	0	NaN	NaN	0	1	1	0	1	0
