SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
5	1	1	46	18499	4586	0.70447910495568066835	1	1	1005.7247040094807744	0	28	NaN	1	1	0	1	2	0
5	1	1	47	53723	1499	0.70452530018519610167	0	1	869.61855400295462459	0	NaN	NaN	0	1	1	0	1	0
5	1	1	48	3134	2872	0.7045715962303802371	0	1	750.05367599078454077	0	NaN	NaN	0	1	1	0	1	0
5	1	1	49	24399	9173	0.70461788319516927004	0	1	938.41823100228793919	0	NaN	NaN	0	1	1	0	1	0
5	1	1	50	29328	2665	0.70466418506111949682	0	1	775.36076099204365164	0	NaN	NaN	0	1	1	0	1	0
5	1	1	51	42507	1045	0.70471047214232385159	0	1	684.43075301183853298	0	NaN	NaN	0	1	1	0	1	0
5	1	1	52	35808	1974	0.70475676842033863068	0	1	805.63837299996521324	0	NaN	NaN	0	1	1	0	1	0
5	1	1	53	67433	2268	0.70480306632816791534	0	1	702.1022569970227778	0	NaN	NaN	0	1	1	0	1	0
5	1	1	54	65452	7771	0.70484935515560209751	0	1	646.28796200850047171	0	NaN	NaN	0	1	1	0	1	0
5	1	1	55	64010	6336	0.70494194119237363338	0	1	664.6728329942561686	0	NaN	NaN	0	1	1	0	1	0
5	1	1	56	53053	727	0.70498824375681579113	0	1	703.81928101414814591	0	NaN	NaN	0	1	1	0	1	0
5	1	1	57	4931	40	0.70503452920820564032	0	1	1103.5971590026747435	0	NaN	NaN	0	1	1	0	1	0
5	1	1	58	4491	6000	0.70508082385640591383	0	1	837.136497997562401	0	NaN	NaN	0	1	1	0	1	0
5	1	1	59	2386	7046	0.70512711815536022186	0	1	852.25149200414307415	0	NaN	NaN	0	1	1	0	1	0
5	1	1	60	67891	1607	0.70517342002131044865	0	1	692.7397589897736907	0	NaN	NaN	0	1	1	0	1	0
5	1	1	61	25759	2132	0.70521971466951072216	0	1	692.32943400857038796	0	NaN	NaN	0	1	1	0	1	0
5	1	1	62	15463	5352	0.70526600559242069721	0	1	571.8107510037953034	0	NaN	NaN	0	1	1	0	1	0
5	1	1	63	64451	2514	0.70531229465268552303	0	1	732.67616599332541227	0	NaN	NaN	0	1	1	0	1	0
5	1	2	1	38390	5730	0.70700761163607239723	0	1	830.99958600359968841	0	NaN	NaN	0	1	1	0	1	0
5	1	2	2	38040	4135	0.70705394481774419546	0	1	746.25286400259938091	0	NaN	NaN	0	1	1	0	1	0
5	1	2	3	30022	5169	0.70710020686965435743	0	1	714.59382699686102569	0	NaN	NaN	0	1	1	0	1	0
5	1	2	4	63152	5821	0.70714654040057212114	0	1	800.55704200640320778	0	NaN	NaN	0	1	1	0	1	0
5	1	2	5	30614	8842	0.70719278894830495119	0	1	687.8096510044997558	0	NaN	NaN	0	1	1	0	1	0
5	1	2	6	38040	4135	0.70723912806715816259	1	1	983.80518201156519353	0	3	NaN	1	1	0	1	2	0
5	1	2	7	54871	4990	0.70728538208641111851	0	1	571.77640100417193025	0	NaN	NaN	0	1	1	0	1	0
5	1	2	8	37767	9955	0.70733172970358282328	0	1	931.566343002486974	0	NaN	NaN	0	1	1	0	1	0
5	1	2	9	26314	7331	0.70737797161564230919	0	1	603.88310700363945216	0	NaN	NaN	0	1	1	0	1	0
5	1	2	10	26328	3470	0.70742432726547122002	0	1	624.78584500786382705	0	NaN	NaN	0	1	1	0	1	0
5	1	2	11	16381	9913	0.70747056254185736179	0	1	667.27513099613133818	0	NaN	NaN	0	1	1	0	1	0
5	1	2	12	40288	3207	0.7075631474144756794	0	1	714.48586299084126949	0	NaN	NaN	0	1	1	0	1	0
5	1	2	13	40283	5799	0.70760945125948637724	0	1	704.2382929939776659	0	NaN	NaN	0	1	1	0	1	0
5	1	2	14	11393	4068	0.70765573007520288229	0	1	518.34890700411051512	0	NaN	NaN	0	1	1	0	1	0
5	1	2	15	52172	2204	0.70770203426945954561	0	1	562.55625199992209673	0	NaN	NaN	0	1	1	0	1	0
5	1	2	16	48572	7081	0.70774832379538565874	0	1	705.4286470083752647	0	NaN	NaN	0	1	1	0	1	0
5	1	2	17	68113	3632	0.70779462286736816168	0	1	616.01545099983923137	0	NaN	NaN	0	1	1	0	1	0
5	1	2	18	40387	3444	0.70784091216046363115	0	1	629.98601399885956198	0	NaN	NaN	0	1	1	0	1	0
5	1	2	19	63410	2840	0.70788721495773643255	0	1	1016.4668530051130801	0	NaN	NaN	0	1	1	0	1	0
5	1	2	20	35354	1538	0.70793349319137632847	0	1	649.67946401156950742	0	NaN	NaN	0	1	1	0	1	0
5	1	2	21	43927	8951	0.7080260890070348978	0	1	805.13651100045535713	0	NaN	NaN	0	1	1	0	1	0
5	1	2	22	42404	8009	0.70807237725239247084	0	1	817.66591899213381112	0	NaN	NaN	0	1	1	0	1	0
5	1	2	23	742	5772	0.70811867737211287022	0	1	702.44068300235085189	0	NaN	NaN	0	1	1	0	1	0
5	1	2	24	33550	5200	0.70816497912164777517	0	1	1012.3259870015317574	0	NaN	NaN	0	1	1	0	1	0
5	1	2	25	64735	7984	0.70821126608643680811	0	1	844.71342900360468775	0	NaN	NaN	0	1	1	0	1	0
5	1	2	26	33777	9865	0.70825756352860480547	0	1	832.87233600276522338	0	NaN	NaN	0	1	1	0	1	0
5	1	2	27	64906	7367	0.70830375747755169868	0	1	713.97405699826776981	0	NaN	NaN	0	1	1	0	1	0
5	1	2	28	32626	436	0.70835004968103021383	1	1	954.1560889920219779	0	45	NaN	1	1	0	1	2	0
5	1	2	29	39664	3014	0.70839634689036756754	0	1	1026.2539240065962076	0	NaN	NaN	0	1	1	0	1	0
5	1	2	30	61327	3569	0.70844263141043484211	0	1	870.72243999864440411	0	NaN	NaN	0	1	1	0	1	0
5	1	2	31	52348	6871	0.70853522210381925106	0	1	689.54696699802298099	0	NaN	NaN	0	1	1	0	1	0
5	1	2	32	23329	4263	0.70858152094297111034	0	1	692.51410099968779832	0	NaN	NaN	0	1	1	0	1	0
5	1	2	33	17360	3694	0.70862781221512705088	0	1	958.14847599831409752	0	NaN	NaN	0	1	1	0	1	0
5	1	2	34	17327	5322	0.70867410721257328987	0	1	602.82596200704574585	0	NaN	NaN	0	1	1	0	1	0
5	1	2	35	66102	4061	0.70872040849644690752	0	1	1062.5576739985262975	0	NaN	NaN	0	1	1	0	1	0
5	1	2	36	62232	7985	0.70876668975688517094	0	1	739.77554700104519725	0	NaN	NaN	0	1	1	0	1	0
5	1	2	37	48920	6041	0.70881298976019024849	0	1	859.67306399834342301	0	NaN	NaN	0	1	1	0	1	0
5	1	2	38	9966	6142	0.7088592856889590621	0	1	825.35238300624769181	0	NaN	NaN	0	1	1	0	1	0
5	1	2	39	65105	6843	0.70890557288657873869	0	1	942.94878900109324604	0	NaN	NaN	0	1	1	0	1	0
5	1	2	40	25329	7442	0.70895187230780720711	0	1	872.5799840030958876	0	NaN	NaN	0	1	1	0	1	0
5	1	2	41	49747	1108	0.70904446241911500692	0	1	2054.619161004666239	0	NaN	NaN	0	1	1	0	1	0
5	1	2	42	47838	9936	0.70909075636882334948	0	1	821.42758699774276465	0	NaN	NaN	0	1	1	0	1	0
5	1	2	43	66086	2757	0.70913705136626958847	0	1	727.58465800143312663	0	NaN	NaN	0	1	1	0	1	0
5	1	2	44	55714	9658	0.70918334554880857468	0	1	764.18197700695600361	0	NaN	NaN	0	1	1	0	1	0
5	1	2	45	30022	5169	0.70922963891644030809	1	1	1220.7770110107958317	0	41	NaN	1	1	0	1	2	0
5	1	2	46	19994	3376	0.70927592995576560497	0	1	726.85474400350358337	0	NaN	NaN	0	1	1	0	1	0
5	1	2	47	54266	7287	0.70932222763076424599	0	1	1740.24466700211633	0	NaN	NaN	0	1	1	0	1	0
5	1	2	48	55125	5363	0.709368519252166152	0	1	661.91370900196488947	0	NaN	NaN	0	1	1	0	1	0
5	1	2	49	16916	5834	0.70941481611225754023	0	0	1813.595254992833361	0	NaN	NaN	0	0	0	1	2	0
5	1	2	50	17315	6448	0.70946110144723206758	0	1	876.71959699946455657	0	NaN	NaN	0	1	1	0	1	0
5	1	2	51	32942	4186	0.70950740412808954716	0	1	1031.6093559958972037	0	NaN	NaN	0	1	1	0	1	0
5	1	2	52	64442	9715	0.70955360215157270432	0	1	645.78128399443812668	0	NaN	NaN	0	1	1	0	1	0
5	1	2	53	16077	1430	0.70964618830475956202	0	1	804.32057900179643184	0	NaN	NaN	0	1	1	0	1	0
5	1	2	54	16375	9621	0.7096924767829477787	0	1	1292.7690040087327361	0	NaN	NaN	0	1	1	0	1	0
5	1	2	55	41751	7112	0.70973877247888594866	0	1	714.91077600512653589	0	NaN	NaN	0	1	1	0	1	0
5	1	2	56	65821	9845	0.70978506747633218765	0	1	773.53337399836163968	0	NaN	NaN	0	1	1	0	1	0
5	1	2	57	60623	7473	0.70983136387076228857	0	1	821.0453180072363466	0	NaN	NaN	0	1	1	0	1	0
5	1	2	58	6432	60	0.70987771684303879738	0	1	761.32079200760927051	0	NaN	NaN	0	1	1	0	1	0
5	1	2	59	66086	2757	0.70992395223584026098	1	1	959.53713799826800823	0	15	NaN	1	1	0	1	2	0
5	1	2	60	50413	2704	0.70997024048119783401	0	1	949.26088600186631083	0	NaN	NaN	0	1	1	0	1	0
5	1	2	61	14435	8634	0.71001653547864407301	1	1	955.82024999021086842	0	104	NaN	1	1	0	1	2	0
5	1	2	62	3882	4900	0.7100628408370539546	0	1	1403.0754120030906051	0	NaN	NaN	0	1	1	0	1	0
5	1	3	1	43945	7336	0.71172381273936480284	0	1	848.39604700391646475	0	NaN	NaN	0	1	1	0	1	0
5	1	3	2	70336	970	0.71177011379040777683	0	1	944.9923679931089282	0	NaN	NaN	0	1	1	0	1	0
5	1	3	3	29200	4229	0.7118163952836766839	0	1	836.94331299921032041	0	NaN	NaN	0	1	1	0	1	0
5	1	3	4	32894	3770	0.71186270832549780607	0	1	751.72173298778943717	0	NaN	NaN	0	1	1	0	1	0
5	1	3	5	22276	3284	0.71190899494104087353	0	1	707.2558079962618649	0	NaN	NaN	0	1	1	0	1	0
5	1	3	6	63263	6316	0.71195529901888221502	0	1	601.15336600574664772	0	NaN	NaN	0	1	1	0	1	0
5	1	3	7	44002	1266	0.71200156921986490488	0	1	832.44599499448668212	0	NaN	NaN	0	1	1	0	1	0
5	1	3	8	36577	479	0.71204787550959736109	0	1	802.94804699951782823	0	NaN	NaN	0	1	1	0	1	0
