SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
6	1	1	1	46003	626	0.68952085776254534721	0	1	665.10539000228163786	0	NaN	NaN	0	1	1	0	1	0
6	1	1	2	21397	5013	0.68956714461091905832	0	1	543.21970499950111844	0	NaN	NaN	0	1	1	0	1	0
6	1	1	3	18925	4850	0.68961345148272812366	0	1	658.33768299853545614	0	NaN	NaN	0	1	1	0	1	0
6	1	1	4	27158	8823	0.68965974135790020227	0	1	905.89925799940829165	0	NaN	NaN	0	1	1	0	1	0
6	1	1	5	16125	9538	0.68970603926572948694	0	1	680.33175899836351164	0	NaN	NaN	0	1	1	0	1	0
6	1	1	6	25660	6061	0.68975233950186520815	0	1	686.79739100116421469	0	NaN	NaN	0	1	1	0	1	0
6	1	1	7	3644	4421	0.68979862111154943705	0	1	556.86726500061922707	0	NaN	NaN	0	1	1	0	1	0
6	1	1	8	6454	3858	0.68984493368770927191	0	1	585.38177499940502457	0	NaN	NaN	0	1	1	0	1	0
6	1	1	9	18245	8124	0.68989121599588543177	0	1	587.85707900096895173	0	NaN	NaN	0	1	1	0	1	0
6	1	1	10	59119	4843	0.68993753055110573769	0	1	568.71362899983068928	0	NaN	NaN	0	1	1	0	1	0
6	1	1	11	34518	7941	0.68998380377888679504	0	1	556.26591600230312906	0	NaN	NaN	0	1	1	0	1	0
6	1	1	12	20971	4523	0.6900301262503489852	0	1	545.6038090014772024	0	NaN	NaN	0	1	1	0	1	0
6	1	1	13	70206	1070	0.69012272392865270376	0	1	534.04555700035416521	0	NaN	NaN	0	1	1	0	1	0
6	1	1	14	65901	9588	0.69016898027621209621	0	1	519.03036700241500512	0	NaN	NaN	0	1	1	0	1	0
6	1	1	15	1603	4623	0.69021531916223466396	0	1	517.04541599974618293	0	NaN	NaN	0	1	1	0	1	0
6	1	1	16	15133	3185	0.69026157073676586151	0	1	578.4715610025159549	0	NaN	NaN	0	1	1	0	1	0
6	1	1	17	39352	4586	0.69030791718978434801	0	1	487.89193399716168642	0	NaN	NaN	0	1	1	0	1	0
6	1	1	18	39930	1009	0.69035415723919868469	0	1	586.97415699862176552	0	NaN	NaN	0	1	1	0	1	0
6	1	1	19	17678	8634	0.69040050567127764225	0	1	627.8168230019218754	0	NaN	NaN	0	1	1	0	1	0
6	1	1	20	26937	9648	0.69044674804899841547	0	1	601.40042100101709366	0	NaN	NaN	0	1	1	0	1	0
6	1	1	21	50548	9425	0.69049310311675071716	0	1	618.15298099827487022	0	NaN	NaN	0	1	1	0	1	0
6	1	1	22	70332	1344	0.69053933420218527317	0	1	574.03717499983031303	0	NaN	NaN	0	1	1	0	1	0
6	1	1	23	30391	7441	0.69063192233443260193	0	1	689.19658600134425797	0	NaN	NaN	0	1	1	0	1	0
6	1	1	24	11429	3902	0.6906782881123945117	0	1	538.38844100027927198	0	NaN	NaN	0	1	1	0	1	0
6	1	1	25	71376	8795	0.69072450697422027588	0	1	702.60106200294103473	0	NaN	NaN	0	1	1	0	1	0
6	1	1	26	22718	1840	0.69077081570867449045	0	1	681.93730100028915331	0	NaN	NaN	0	1	1	0	1	0
6	1	1	27	60314	1356	0.69081709382589906454	0	1	603.80156700193765573	0	NaN	NaN	0	1	1	0	1	0
6	1	1	28	17298	5506	0.69086339464411139488	0	1	746.10010899777989835	0	NaN	NaN	0	1	1	0	1	0
6	1	1	29	48618	666	0.69090968091040849686	0	1	739.91917300008935854	0	NaN	NaN	0	1	1	0	1	0
6	1	1	30	13354	8240	0.69095599011052399874	0	1	682.38801199913723394	0	NaN	NaN	0	1	2	0	1	0
6	1	1	31	35670	7232	0.69100227346643805504	0	1	731.68789899864350446	0	NaN	NaN	0	1	1	0	1	0
6	1	1	32	4713	5691	0.6910485782427713275	0	1	714.68218299924046732	0	NaN	NaN	0	1	1	0	1	0
6	1	1	33	31988	6661	0.69109486311208456755	0	1	607.49417700208141468	0	NaN	NaN	0	1	1	0	1	0
6	1	1	34	27318	2400	0.69114116206765174866	0	1	989.0281560001312755	0	NaN	NaN	0	1	2	0	1	0
6	1	1	35	68075	2252	0.69123364635743200779	0	1	879.32127100066281855	0	NaN	NaN	0	1	1	0	1	0
6	1	1	36	44981	612	0.69127994275186210871	0	1	782.41482999874278903	0	NaN	NaN	0	1	1	0	1	0
6	1	1	37	41781	1609	0.69132622983306646347	0	1	1074.9000409996369854	0	NaN	NaN	0	1	1	0	1	0
6	1	1	38	16840	3579	0.69137252145446836948	0	1	789.76619999957620166	0	NaN	NaN	0	1	1	0	1	0
6	1	1	39	25508	1703	0.69141882332041859627	0	1	1012.0239559983019717	0	NaN	NaN	0	1	1	0	1	0
6	1	1	40	30233	9976	0.6914651188999414444	0	1	932.55838100230903365	0	NaN	NaN	0	1	1	0	1	0
6	1	1	41	68209	5770	0.69151141506154090166	0	1	749.84393499835277908	0	NaN	NaN	0	1	1	0	1	0
6	1	1	42	40834	8748	0.69155770400539040565	0	1	758.35123700016993098	0	NaN	NaN	0	1	1	0	1	0
6	1	1	43	6855	9202	0.69160399527754634619	0	1	943.73537299907184206	0	NaN	NaN	0	1	1	0	1	0
6	1	1	44	57007	3123	0.69165029469877481461	0	1	823.31546900240937248	0	NaN	NaN	0	1	1	0	1	0
6	1	1	45	32626	436	0.69169658923055976629	0	1	1102.9338860025745817	0	NaN	NaN	0	1	1	0	1	0
6	1	1	46	39352	4586	0.69178917480167001486	1	1	746.62064200310851447	0	28	NaN	1	1	0	1	2	0
6	1	1	47	69606	1499	0.69183547107968479395	0	1	745.00202000126591884	0	NaN	NaN	0	1	1	0	1	0
6	1	1	48	50463	2872	0.69188175734598189592	0	1	624.54216900005121715	0	NaN	NaN	0	1	1	0	1	0
6	1	1	49	37535	9173	0.69192806270439177752	0	1	710.03995999853941612	0	NaN	NaN	0	1	1	0	1	0
6	1	1	50	52484	2665	0.69197435188107192516	0	1	737.62314399937167764	0	NaN	NaN	0	1	1	0	1	0
6	1	1	51	65382	1045	0.69202063977718353271	0	1	645.41236900186049752	0	NaN	NaN	0	1	1	0	1	0
6	1	1	52	52358	1974	0.69206694082822650671	0	1	783.88369800086366013	0	NaN	NaN	0	1	1	0	1	0
6	1	1	53	44255	2268	0.69211323605850338936	0	1	668.24167999948258512	0	NaN	NaN	0	1	1	0	1	0
6	1	1	54	50606	7771	0.69215952220838516951	0	1	687.61822400119854137	0	NaN	NaN	0	1	2	0	1	0
6	1	1	55	61546	6336	0.69225211755838245153	0	1	680.68803800269961357	0	NaN	NaN	0	1	1	0	1	0
6	1	1	56	53053	727	0.69229841127526015043	0	1	602.32878200258710422	0	NaN	NaN	0	1	1	0	1	0
6	1	1	57	4931	40	0.69234470126684755087	0	1	770.96123899900703691	0	NaN	NaN	0	1	1	0	1	0
6	1	1	58	31910	6000	0.69239100383128970861	0	1	702.98544999968726188	0	NaN	NaN	0	1	1	0	1	0
6	1	1	59	26735	7046	0.6924372940557077527	0	1	827.84840899694245309	0	NaN	NaN	0	1	1	0	1	0
6	1	1	60	67268	1607	0.69248358893673866987	0	1	855.99700900274910964	0	NaN	NaN	0	1	1	0	1	0
6	1	1	61	28476	2132	0.69252988114021718502	0	1	802.2621290001552552	0	NaN	NaN	0	1	1	0	1	0
6	1	1	62	16500	5352	0.69257607299368828535	0	1	684.84624499978963286	0	NaN	NaN	0	1	1	0	1	0
6	1	1	63	34956	2514	0.69262236729264259338	0	1	760.60541099650436081	0	NaN	NaN	0	1	1	0	1	0
6	1	2	1	63007	5730	0.69413377775344997644	0	1	656.60249299980932847	0	NaN	NaN	0	1	1	0	1	0
6	1	2	2	45905	4135	0.69418008322827517986	0	1	642.99249200121266767	0	NaN	NaN	0	1	1	0	1	0
6	1	2	3	66500	5169	0.69422636751551181078	0	1	588.41592400131048635	0	NaN	NaN	0	1	1	0	1	0
6	1	2	4	3791	5821	0.69427266821730881929	0	1	748.20161000025109388	0	NaN	NaN	0	1	1	0	1	0
6	1	2	5	70729	8842	0.69431895320303738117	0	1	748.12174199905712157	0	NaN	NaN	0	1	1	0	1	0
6	1	2	6	45905	4135	0.69436524854972958565	1	1	710.58236400131136179	0	3	NaN	1	1	0	1	2	0
6	1	2	7	23264	4990	0.69441153272055089474	0	1	829.4535749992064666	0	NaN	NaN	0	1	1	0	1	0
6	1	2	8	56532	9955	0.69445784436538815498	0	1	659.77670799838961102	0	NaN	NaN	0	1	1	0	1	0
6	1	2	9	68299	7331	0.69450412923470139503	0	1	691.79788899782579392	0	NaN	NaN	0	1	1	0	1	0
6	1	2	10	44511	3470	0.69455042586196213961	0	1	745.96428500080946833	0	NaN	NaN	0	1	1	0	1	0
6	1	2	11	63294	9913	0.69459671748336404562	0	1	653.81083600004785694	0	NaN	NaN	0	1	1	0	1	0
6	1	2	12	52910	3207	0.69468930456787347794	0	1	665.29167699991376139	0	NaN	NaN	0	1	1	0	1	0
6	1	2	13	7821	5799	0.69473561062477529049	0	1	1001.5232940022542607	0	NaN	NaN	0	1	1	0	1	0
6	1	2	14	52792	4068	0.69478188629727810621	0	1	851.53032399830408394	0	NaN	NaN	0	1	1	0	1	0
6	1	2	15	20405	2204	0.6948281929362565279	0	1	771.85452800040366128	0	NaN	NaN	0	1	1	0	1	0
6	1	2	16	31792	7081	0.69487448222935199738	0	1	754.8053020000224933	0	NaN	NaN	0	1	1	0	1	0
6	1	2	17	12575	3632	0.69492077827453613281	0	1	836.14284899886115454	0	NaN	NaN	0	1	1	0	1	0
6	1	2	18	66416	3444	0.69496706116478890181	0	1	918.00343800059636123	0	NaN	NaN	0	1	1	0	1	0
