SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
4	1	1	1	46003	626	0.72362268040888011456	0	1	1792.8944760060403496	0	NaN	NaN	0	1	1	0	1	0
4	1	1	2	23082	5013	0.7236689799465239048	0	1	726.68527998030185699	0	NaN	NaN	0	1	1	0	1	0
4	1	1	3	8031	4850	0.72371526260394603014	0	1	643.51585099939256907	0	NaN	NaN	0	1	1	0	1	0
4	1	1	4	36381	8823	0.72376157401595264673	0	1	733.44042498501949012	0	NaN	NaN	0	1	1	0	1	0
4	1	1	5	2949	9538	0.72380785306449979544	0	1	602.37500100629404187	0	NaN	NaN	0	1	1	0	1	0
4	1	1	6	56801	6061	0.72385417227633297443	0	1	627.50872300239279866	0	NaN	NaN	0	1	1	0	1	0
4	1	1	7	25466	4421	0.72390043898485600948	0	1	677.04172400408424437	0	NaN	NaN	0	1	1	0	1	0
4	1	1	8	5679	3858	0.72394676925614476204	0	1	784.25819298718124628	0	NaN	NaN	0	1	1	0	1	0
4	1	1	9	72196	8124	0.7239930260693654418	0	1	677.34896199544891715	0	NaN	NaN	0	1	1	0	1	0
4	1	1	10	16441	4843	0.72403936460614204407	0	1	712.13448801427148283	0	NaN	NaN	0	1	1	0	1	0
4	1	1	11	29265	7941	0.72408561839256435633	0	1	806.61046601017005742	0	NaN	NaN	0	1	1	0	1	0
4	1	1	12	41499	4523	0.72413196077104657888	0	1	768.05490200058557093	0	NaN	NaN	0	1	1	0	1	0
4	1	1	13	37122	1070	0.72422455833293497562	0	1	997.13341300957836211	0	NaN	NaN	0	1	1	0	1	0
4	1	1	14	5780	9588	0.72427079745102673769	0	1	924.76227300358004868	0	NaN	NaN	0	1	1	0	1	0
4	1	1	15	33497	4623	0.72431715554557740688	0	1	885.89517501532100141	0	NaN	NaN	0	1	1	0	1	0
4	1	1	16	36390	3185	0.72436338895931839943	0	1	947.84003499080426991	0	NaN	NaN	0	1	1	0	1	0
4	1	1	17	28551	4586	0.72440975089557468891	0	1	803.99932898581027985	0	NaN	NaN	0	1	1	0	1	0
4	1	1	18	3053	1009	0.72445597348269075155	0	1	1017.0462990063242614	0	NaN	NaN	0	1	1	0	1	0
4	1	1	19	10743	8634	0.724502348224632442	0	1	972.68186099245212972	0	NaN	NaN	0	1	1	0	1	0
4	1	1	20	1573	9648	0.72454855393152683973	0	1	1360.6543230125680566	0	NaN	NaN	0	1	1	0	1	0
4	1	1	21	58570	9425	0.72459492972120642662	0	1	885.42544300435110927	0	NaN	NaN	0	1	1	0	1	0
4	1	1	22	11024	1344	0.72464114602189511061	0	1	985.00854300800710917	0	NaN	NaN	0	1	1	0	1	0
4	1	1	23	53367	7441	0.72473373368848115206	0	1	815.29273401247337461	0	NaN	NaN	0	1	1	0	1	0
4	1	1	24	65042	3902	0.72478004393633455038	0	1	726.4981549815274775	0	NaN	NaN	0	1	1	0	1	0
4	1	1	25	70847	8795	0.72482632636092603207	0	1	763.91078397864475846	0	NaN	NaN	0	1	1	0	1	0
4	1	1	26	27488	1840	0.72487263137008994818	0	1	756.62426298367790878	0	NaN	NaN	0	1	1	0	1	0
4	1	1	27	55741	1356	0.72491891460958868265	0	1	893.59643100760877132	0	NaN	NaN	0	1	1	0	1	0
4	1	1	28	30178	5506	0.72496522148139774799	0	1	880.39396100793965161	0	NaN	NaN	0	1	1	0	1	0
4	1	1	29	48618	666	0.72501149808522313833	0	1	847.8915560117457062	0	NaN	NaN	0	1	1	0	1	0
4	1	1	30	20447	8240	0.72505780111532658339	0	1	940.85444300435483456	0	NaN	NaN	0	1	1	0	1	0
4	1	1	31	16512	7232	0.7251040854025632143	0	1	780.97252600127831101	0	NaN	NaN	0	1	2	0	1	0
4	1	1	32	37774	5691	0.72515039646532386541	0	1	761.72617898555472493	0	NaN	NaN	0	1	1	0	1	0
